sale_date,drug_name,territory_id,units_sold,unit_price,revenue
2024-01-03,Revlimid,TER-03,4,6301.06,25204.24
2024-01-03,Remicade,TER-07,5,2503.94,12519.7
2024-01-03,Lyrica,TER-18,63,423.65,26689.95
2024-01-03,Rituxan,TER-07,6,4941.32,29647.92
2024-01-03,Humira,TER-18,23,3376.64,77662.72
2024-01-03,Revlimid,TER-09,16,7210.06,115360.96
2024-01-03,Copaxone,TER-11,60,1153.19,69191.4
2024-01-03,Nexium,TER-12,43,279.2,12005.6
2024-01-03,Copaxone,TER-08,39,1171.17,45675.63
2024-01-03,Keytruda,TER-10,1,9010.93,9010.93
2024-01-03,Nexium,TER-18,1,286.24,286.24
2024-01-03,Gleevec,TER-16,8,4528.68,36229.44
2024-01-03,Gleevec,TER-06,3,4581.9,13745.7
2024-01-03,Opdivo,TER-12,17,7135.37,121301.29
2024-01-03,Lipitor,TER-17,37,325.94,12059.78
2024-01-03,Humira,TER-03,16,3092.98,49487.68
2024-01-03,Opdivo,TER-14,1,7074.57,7074.57
2024-01-03,Copaxone,TER-20,24,1131.89,27165.36
2024-01-03,Copaxone,TER-20,21,1267.3,26613.3
2024-01-03,Advair,TER-12,41,638.52,26179.32
2024-01-03,Nexium,TER-08,33,299.64,9888.12
2024-01-03,Herceptin,TER-03,3,6395.95,19187.85
2024-01-03,Advair,TER-08,49,674.29,33040.21
2024-01-03,Neulasta,TER-04,23,4112.5,94587.5
2024-01-03,Rituxan,TER-05,23,5089.35,117055.05
2024-01-03,Advair,TER-10,80,672.13,53770.4
2024-01-04,Tecfidera,TER-04,38,1894.38,71986.44
2024-01-04,Gleevec,TER-11,13,4647.84,60421.92
2024-01-04,Neulasta,TER-01,4,3447.82,13791.28
2024-01-04,Januvia,TER-03,75,553.67,41525.25
2024-01-04,Gleevec,TER-17,14,4692.26,65691.64
2024-01-04,Lipitor,TER-11,144,380.91,54851.04
2024-01-04,Enbrel,TER-20,26,2940.35,76449.1
2024-01-04,Gleevec,TER-13,22,4421.23,97267.06
2024-01-04,Advair,TER-03,41,662.7,27170.7
2024-01-04,Nexium,TER-09,149,306.34,45644.66
2024-01-04,Herceptin,TER-18,8,6463.78,51710.24
2024-01-04,Lipitor,TER-20,69,349.25,24098.25
2024-01-04,Revlimid,TER-18,2,6432.8,12865.6
2024-01-04,Copaxone,TER-03,34,1217.2,41384.8
2024-01-04,Copaxone,TER-01,16,1310.2,20963.2
2024-01-04,Gleevec,TER-17,4,4903.08,19612.32
2024-01-04,Advair,TER-11,72,714.14,51418.08
2024-01-04,Enbrel,TER-05,41,2801.14,114846.74
2024-01-04,Crestor,TER-12,21,438.64,9211.44
2024-01-04,Herceptin,TER-08,8,6799.51,54396.08
2024-01-04,Enbrel,TER-10,18,2594.21,46695.78
2024-01-04,Lipitor,TER-10,38,306.74,11656.12
2024-01-04,Herceptin,TER-09,1,6833.0,6833.0
2024-01-04,Revlimid,TER-17,25,7137.53,178438.25
2024-01-04,Rituxan,TER-03,2,4968.86,9937.72
2024-01-04,Crestor,TER-17,44,433.67,19081.48
2024-01-04,Januvia,TER-11,18,641.71,11550.78
2024-01-04,Crestor,TER-12,7,437.76,3064.32
2024-01-04,Revlimid,TER-10,6,7161.4,42968.4
2024-01-04,Rituxan,TER-17,19,5081.36,96545.84
2024-01-04,Opdivo,TER-06,5,6923.68,34618.4
2024-01-04,Lantus,TER-13,89,964.13,85807.57
2024-01-05,Opdivo,TER-07,5,7590.93,37954.65
2024-01-05,Revlimid,TER-10,15,6421.92,96328.8
2024-01-05,Januvia,TER-05,37,515.06,19057.22
2024-01-05,Copaxone,TER-12,16,1145.29,18324.64
2024-01-05,Copaxone,TER-07,80,1174.79,93983.2
2024-01-05,Herceptin,TER-02,4,6327.09,25308.36
2024-01-05,Herceptin,TER-11,3,6987.2,20961.6
2024-01-05,Copaxone,TER-04,106,1255.86,133121.16
2024-01-05,Herceptin,TER-04,14,6746.96,94457.44
2024-01-05,Herceptin,TER-15,18,5953.36,107160.48
2024-01-05,Lyrica,TER-08,9,403.78,3634.02
2024-01-05,Crestor,TER-17,5,468.81,2344.05
2024-01-05,Lipitor,TER-05,62,380.89,23615.18
2024-01-05,Humira,TER-20,7,3154.3,22080.1
2024-01-05,Crestor,TER-13,30,435.08,13052.4
2024-01-05,Gleevec,TER-18,4,4815.89,19263.56
2024-01-05,Advair,TER-02,107,603.35,64558.45
2024-01-05,Keytruda,TER-18,14,8641.71,120983.94
2024-01-05,Avastin,TER-02,13,5592.56,72703.28
2024-01-05,Gleevec,TER-12,30,4160.58,124817.4
2024-01-05,Lipitor,TER-12,28,337.75,9457.0
2024-01-05,Rituxan,TER-03,6,5162.98,30977.88
2024-01-05,Crestor,TER-10,1,435.97,435.97
2024-01-05,Keytruda,TER-05,2,7773.32,15546.64
2024-01-05,Lipitor,TER-17,49,323.56,15854.44
2024-01-05,Herceptin,TER-17,9,6130.51,55174.59
2024-01-05,Crestor,TER-09,122,437.53,53378.66
2024-01-05,Gleevec,TER-03,5,4901.84,24509.2
2024-01-05,Rituxan,TER-19,13,5122.62,66594.06
2024-01-05,Avastin,TER-04,5,5847.62,29238.1
2024-01-06,Humira,TER-08,24,3099.27,74382.48
2024-01-06,Tecfidera,TER-10,7,1764.99,12354.93
2024-01-06,Avastin,TER-20,5,5815.11,29075.55
2024-01-06,Crestor,TER-07,1,402.74,402.74
2024-01-06,Crestor,TER-07,59,395.95,23361.05
2024-01-06,Revlimid,TER-14,10,6548.24,65482.4
2024-01-06,Crestor,TER-05,33,421.22,13900.26
2024-01-06,Revlimid,TER-19,2,7405.17,14810.34
2024-01-06,Lipitor,TER-10,13,351.3,4566.9
2024-01-06,Nexium,TER-20,2,281.96,563.92
2024-01-06,Keytruda,TER-16,3,7590.48,22771.44
2024-01-06,Tecfidera,TER-15,10,1741.47,17414.7
2024-01-06,Nexium,TER-11,48,287.22,13786.56
2024-01-06,Tecfidera,TER-19,46,1856.91,85417.86
2024-01-06,Copaxone,TER-17,4,1253.54,5014.16
2024-01-06,Tecfidera,TER-20,25,1717.28,42932.0
2024-01-06,Tecfidera,TER-20,6,1963.38,11780.28
2024-01-06,Keytruda,TER-05,8,7036.59,56292.72
2024-01-06,Gleevec,TER-15,23,4812.27,110682.21
2024-01-06,Lipitor,TER-18,113,374.13,42276.69
2024-01-06,Copaxone,TER-06,14,1216.87,17036.18
2024-01-06,Tecfidera,TER-14,46,1778.58,81814.68
2024-01-06,Lipitor,TER-09,1,343.94,343.94
2024-01-06,Nexium,TER-03,101,280.0,28280.0
2024-01-06,Opdivo,TER-01,5,6622.69,33113.45
2024-01-06,Enbrel,TER-15,52,2790.23,145091.96
2024-01-06,Lantus,TER-03,35,1026.93,35942.55
2024-01-06,Keytruda,TER-20,14,8344.56,116823.84
2024-01-06,Lantus,TER-09,4,927.21,3708.84
2024-01-06,Avastin,TER-03,50,5080.5,254025.0
2024-01-06,Lyrica,TER-12,45,476.78,21455.1
2024-01-06,Revlimid,TER-16,1,6932.59,6932.59
2024-01-06,Lantus,TER-11,80,988.99,79119.2
2024-01-06,Crestor,TER-17,31,391.49,12136.19
2024-01-06,Remicade,TER-03,39,2501.89,97573.71
2024-01-06,Remicade,TER-17,28,2469.11,69135.08
2024-01-06,Tecfidera,TER-04,12,1841.58,22098.96
2024-01-06,Lyrica,TER-11,46,428.12,19693.52
2024-01-06,Tecfidera,TER-04,19,2158.02,41002.38
2024-01-06,Lyrica,TER-05,50,439.54,21977.0
2024-01-07,Enbrel,TER-18,7,2910.83,20375.81
2024-01-07,Januvia,TER-12,36,552.25,19881.0
2024-01-07,Remicade,TER-05,66,2512.97,165856.02
2024-01-07,Avastin,TER-02,5,6326.87,31634.35
2024-01-07,Opdivo,TER-19,23,7642.81,175784.63
2024-01-07,Neulasta,TER-15,43,4001.53,172065.79
2024-01-07,Revlimid,TER-09,5,7466.98,37334.9
2024-01-07,Lantus,TER-04,11,945.51,10400.61
2024-01-07,Copaxone,TER-08,2,1239.36,2478.72
2024-01-07,Avastin,TER-15,19,5625.49,106884.31
2024-01-07,Lipitor,TER-06,18,346.21,6231.78
2024-01-07,Lipitor,TER-13,84,382.97,32169.48
2024-01-07,Rituxan,TER-10,10,5227.12,52271.2
2024-01-07,Enbrel,TER-08,3,2983.54,8950.62
2024-01-07,Rituxan,TER-03,22,5527.34,121601.48
2024-01-07,Nexium,TER-17,10,280.59,2805.9
2024-01-07,Copaxone,TER-05,16,1167.1,18673.6
2024-01-07,Remicade,TER-16,12,2488.61,29863.32
2024-01-07,Advair,TER-14,48,697.57,33483.36
2024-01-07,Herceptin,TER-02,6,6870.71,41224.26
2024-01-07,Rituxan,TER-15,21,5189.45,108978.45
2024-01-07,Advair,TER-14,13,672.38,8740.94
2024-01-07,Enbrel,TER-02,1,2784.41,2784.41
2024-01-07,Enbrel,TER-09,13,2936.18,38170.34
2024-01-07,Neulasta,TER-18,12,3833.68,46004.16
2024-01-07,Januvia,TER-20,14,638.84,8943.76
2024-01-07,Copaxone,TER-20,8,1313.74,10509.92
2024-01-07,Keytruda,TER-14,1,8995.97,8995.97
2024-01-07,Keytruda,TER-03,13,8131.17,105705.21
2024-01-07,Crestor,TER-17,46,394.92,18166.32
2024-01-07,Januvia,TER-01,235,631.91,148498.85
2024-01-07,Januvia,TER-02,42,554.2,23276.4
2024-01-07,Lyrica,TER-14,70,493.81,34566.7
2024-01-07,Lipitor,TER-20,46,341.55,15711.3
2024-01-07,Keytruda,TER-01,21,8842.51,185692.71
2024-01-08,Rituxan,TER-12,18,4975.66,89561.88
2024-01-08,Revlimid,TER-13,2,6575.43,13150.86
2024-01-08,Revlimid,TER-03,2,6990.37,13980.74
2024-01-08,Tecfidera,TER-07,7,1830.38,12812.66
2024-01-08,Enbrel,TER-01,3,2583.99,7751.97
2024-01-08,Tecfidera,TER-05,4,1761.19,7044.76
2024-01-08,Crestor,TER-13,87,413.31,35957.97
2024-01-08,Lyrica,TER-20,17,415.73,7067.41
2024-01-08,Tecfidera,TER-13,27,1735.06,46846.62
2024-01-08,Opdivo,TER-02,15,6880.3,103204.5
2024-01-08,Herceptin,TER-07,38,6416.63,243831.94
2024-01-08,Januvia,TER-20,92,558.49,51381.08
2024-01-08,Herceptin,TER-13,22,6508.89,143195.58
2024-01-08,Herceptin,TER-09,3,6440.94,19322.82
2024-01-08,Tecfidera,TER-01,100,1670.75,167075.0
2024-01-08,Keytruda,TER-10,6,7942.38,47654.28
2024-01-08,Lantus,TER-01,135,1001.94,135261.9
2024-01-08,Gleevec,TER-16,5,4380.95,21904.75
2024-01-08,Gleevec,TER-07,20,4466.29,89325.8
2024-01-08,Keytruda,TER-03,1,8440.88,8440.88
2024-01-08,Gleevec,TER-10,36,4373.12,157432.32
2024-01-08,Nexium,TER-01,230,294.93,67833.9
2024-01-08,Gleevec,TER-13,5,4572.42,22862.1
2024-01-09,Advair,TER-15,110,749.7,82467.0
2024-01-09,Neulasta,TER-08,39,3358.17,130968.63
2024-01-09,Lantus,TER-16,22,941.22,20706.84
2024-01-09,Nexium,TER-12,34,281.26,9562.84
2024-01-09,Nexium,TER-10,143,259.22,37068.46
2024-01-09,Lantus,TER-14,49,1009.26,49453.74
2024-01-09,Avastin,TER-05,12,5777.35,69328.2
2024-01-09,Rituxan,TER-16,1,4993.93,4993.93
2024-01-09,Opdivo,TER-02,17,6918.96,117622.32
2024-01-09,Advair,TER-03,7,724.03,5068.21
2024-01-09,Keytruda,TER-03,5,8373.33,41866.65
2024-01-09,Rituxan,TER-20,1,5198.14,5198.14
2024-01-09,Herceptin,TER-18,3,6874.49,20623.47
2024-01-09,Lipitor,TER-07,61,327.18,19957.98
2024-01-09,Remicade,TER-07,3,2691.25,8073.75
2024-01-09,Copaxone,TER-16,12,1192.85,14314.2
2024-01-09,Januvia,TER-11,80,640.72,51257.6
2024-01-09,Copaxone,TER-12,3,1102.94,3308.82
2024-01-09,Revlimid,TER-15,1,6961.75,6961.75
2024-01-09,Keytruda,TER-17,1,9258.21,9258.21
2024-01-09,Avastin,TER-17,1,5890.74,5890.74
2024-01-09,Rituxan,TER-02,29,4883.78,141629.62
2024-01-09,Avastin,TER-19,4,5824.01,23296.04
2024-01-09,Keytruda,TER-09,7,8741.44,61190.08
2024-01-09,Revlimid,TER-08,10,6945.55,69455.5
2024-01-09,Revlimid,TER-07,19,7016.16,133307.04
2024-01-09,Opdivo,TER-14,1,7138.65,7138.65
2024-01-09,Avastin,TER-16,28,5432.6,152112.8
2024-01-09,Advair,TER-17,95,689.96,65546.2
2024-01-09,Humira,TER-19,17,3335.37,56701.29
2024-01-09,Advair,TER-07,147,652.42,95905.74
2024-01-09,Copaxone,TER-05,1,1246.58,1246.58
2024-01-10,Keytruda,TER-12,9,9504.81,85543.29
2024-01-10,Neulasta,TER-07,19,4032.88,76624.72
2024-01-10,Herceptin,TER-10,23,6065.84,139514.32
2024-01-10,Keytruda,TER-11,1,7697.31,7697.31
2024-01-10,Lipitor,TER-10,59,342.8,20225.2
2024-01-10,Lyrica,TER-13,11,402.77,4430.47
2024-01-10,Gleevec,TER-18,9,4858.32,43724.88
2024-01-10,Neulasta,TER-10,18,3783.7,68106.6
2024-01-10,Humira,TER-09,5,3054.78,15273.9
2024-01-10,Rituxan,TER-09,10,5674.7,56747.0
2024-01-10,Avastin,TER-02,1,5851.99,5851.99
2024-01-10,Avastin,TER-19,11,5700.39,62704.29
2024-01-10,Gleevec,TER-19,22,4301.13,94624.86
2024-01-10,Advair,TER-04,57,683.1,38936.7
2024-01-10,Lantus,TER-16,82,970.96,79618.72
2024-01-10,Keytruda,TER-18,5,8305.06,41525.3
2024-01-10,Neulasta,TER-14,10,3835.97,38359.7
2024-01-10,Enbrel,TER-01,24,2957.99,70991.76
2024-01-10,Gleevec,TER-16,2,4705.07,9410.14
2024-01-10,Crestor,TER-14,1,451.19,451.19
2024-01-10,Lipitor,TER-05,59,359.69,21221.71
2024-01-10,Januvia,TER-20,54,585.83,31634.82
2024-01-10,Januvia,TER-16,19,586.68,11146.92
2024-01-10,Revlimid,TER-11,36,7436.09,267699.24
2024-01-10,Lyrica,TER-02,106,466.47,49445.82
2024-01-10,Copaxone,TER-03,19,1161.8,22074.2
2024-01-10,Opdivo,TER-11,13,7061.11,91794.43
2024-01-10,Herceptin,TER-03,11,7182.14,79003.54
2024-01-10,Januvia,TER-05,16,593.12,9489.92
2024-01-10,Januvia,TER-20,11,573.49,6308.39
2024-01-11,Keytruda,TER-13,2,8245.06,16490.12
2024-01-11,Neulasta,TER-02,31,4149.31,128628.61
2024-01-11,Keytruda,TER-12,21,8417.33,176763.93
2024-01-11,Neulasta,TER-19,1,3799.86,3799.86
2024-01-11,Lyrica,TER-06,108,445.95,48162.6
2024-01-11,Neulasta,TER-19,3,4014.82,12044.46
2024-01-11,Tecfidera,TER-14,12,1715.18,20582.16
2024-01-11,Crestor,TER-14,32,382.5,12240.0
2024-01-11,Nexium,TER-18,166,293.17,48666.22
2024-01-11,Nexium,TER-17,27,296.68,8010.36
2024-01-11,Copaxone,TER-08,8,1147.06,9176.48
2024-01-11,Advair,TER-18,34,646.0,21964.0
2024-01-11,Lyrica,TER-16,147,412.6,60652.2
2024-01-11,Gleevec,TER-01,6,4389.55,26337.3
2024-01-11,Lipitor,TER-06,18,362.25,6520.5
2024-01-11,Gleevec,TER-01,10,4388.12,43881.2
2024-01-11,Keytruda,TER-15,15,8561.94,128429.1
2024-01-11,Humira,TER-16,13,3258.84,42364.92
2024-01-11,Humira,TER-20,13,3128.28,40667.64
2024-01-11,Rituxan,TER-09,29,4789.54,138896.66
2024-01-11,Advair,TER-08,14,687.63,9626.82
2024-01-11,Tecfidera,TER-05,22,1791.71,39417.62
2024-01-11,Advair,TER-08,60,719.11,43146.6
2024-01-11,Advair,TER-09,2,738.19,1476.38
2024-01-11,Tecfidera,TER-03,51,1717.92,87613.92
2024-01-11,Neulasta,TER-05,42,3844.9,161485.8
2024-01-11,Humira,TER-12,10,3291.12,32911.2
2024-01-11,Humira,TER-11,56,3149.34,176363.04
2024-01-11,Humira,TER-10,40,3175.66,127026.4
2024-01-11,Opdivo,TER-04,1,6962.88,6962.88
2024-01-11,Revlimid,TER-05,21,7233.83,151910.43
2024-01-11,Lantus,TER-15,10,862.83,8628.3
2024-01-11,Keytruda,TER-09,10,8226.99,82269.9
2024-01-11,Avastin,TER-14,23,6024.89,138572.47
2024-01-11,Nexium,TER-11,64,269.04,17218.56
2024-01-11,Herceptin,TER-12,1,6504.95,6504.95
2024-01-11,Lyrica,TER-07,9,459.26,4133.34
2024-01-11,Remicade,TER-09,3,2446.64,7339.92
2024-01-11,Nexium,TER-06,15,310.34,4655.1
2024-01-11,Remicade,TER-04,25,2452.25,61306.25
2024-01-11,Crestor,TER-02,117,438.17,51265.89
2024-01-11,Lyrica,TER-08,30,387.69,11630.7
2024-01-11,Opdivo,TER-05,23,7452.24,171401.52
2024-01-11,Copaxone,TER-16,21,1309.44,27498.24
2024-01-11,Gleevec,TER-18,12,4171.49,50057.88
2024-01-11,Copaxone,TER-16,19,1198.7,22775.3
2024-01-11,Opdivo,TER-07,9,6907.46,62167.14
2024-01-11,Opdivo,TER-08,7,7489.95,52429.65
2024-01-11,Gleevec,TER-11,22,3900.18,85803.96
2024-01-11,Revlimid,TER-01,4,6529.54,26118.16
2024-01-11,Lyrica,TER-11,8,455.73,3645.84
2024-01-12,Tecfidera,TER-03,10,1729.37,17293.7
2024-01-12,Humira,TER-04,38,3045.79,115740.02
2024-01-12,Nexium,TER-02,125,281.74,35217.5
2024-01-12,Lipitor,TER-02,28,368.48,10317.44
2024-01-12,Tecfidera,TER-18,6,1680.39,10082.34
2024-01-12,Keytruda,TER-13,5,8120.46,40602.3
2024-01-12,Opdivo,TER-13,18,7116.2,128091.6
2024-01-12,Keytruda,TER-09,2,8774.04,17548.08
2024-01-12,Keytruda,TER-19,12,9201.22,110414.64
2024-01-12,Revlimid,TER-15,14,6664.62,93304.68
2024-01-12,Neulasta,TER-03,4,3625.06,14500.24
2024-01-12,Herceptin,TER-11,4,6505.24,26020.96
2024-01-12,Januvia,TER-17,18,618.26,11128.68
2024-01-12,Avastin,TER-16,1,5518.52,5518.52
2024-01-12,Copaxone,TER-09,23,1178.18,27098.14
2024-01-12,Tecfidera,TER-05,22,1952.07,42945.54
2024-01-12,Revlimid,TER-19,7,7275.6,50929.2
2024-01-12,Lyrica,TER-15,66,413.78,27309.48
2024-01-12,Rituxan,TER-18,10,5230.6,52306.0
2024-01-12,Opdivo,TER-03,9,7460.13,67141.17
2024-01-12,Advair,TER-20,24,685.67,16456.08
2024-01-12,Neulasta,TER-17,26,3371.95,87670.7
2024-01-12,Tecfidera,TER-06,1,1492.66,1492.66
2024-01-12,Neulasta,TER-14,4,3861.11,15444.44
2024-01-12,Remicade,TER-15,64,2402.99,153791.36
2024-01-13,Nexium,TER-05,93,254.25,23645.25
2024-01-13,Herceptin,TER-10,6,6347.55,38085.3
2024-01-13,Advair,TER-06,91,624.99,56874.09
2024-01-13,Lipitor,TER-05,36,369.9,13316.4
2024-01-13,Neulasta,TER-02,21,3695.71,77609.91
2024-01-13,Avastin,TER-10,17,5678.1,96527.7
2024-01-13,Avastin,TER-10,11,5881.49,64696.39
2024-01-13,Nexium,TER-05,6,285.75,1714.5
2024-01-13,Enbrel,TER-03,8,2586.41,20691.28
2024-01-13,Crestor,TER-19,18,416.17,7491.06
2024-01-13,Rituxan,TER-10,7,4955.82,34690.74
2024-01-13,Lyrica,TER-03,43,427.81,18395.83
2024-01-13,Keytruda,TER-15,3,7795.25,23385.75
2024-01-13,Humira,TER-14,12,3327.86,39934.32
2024-01-13,Herceptin,TER-18,7,6599.58,46197.06
2024-01-13,Gleevec,TER-05,26,4337.8,112782.8
2024-01-13,Lantus,TER-04,157,999.19,156872.83
2024-01-13,Lantus,TER-03,91,955.49,86949.59
2024-01-13,Gleevec,TER-04,48,4691.24,225179.52
2024-01-13,Nexium,TER-19,82,302.51,24805.82
2024-01-13,Lantus,TER-08,2,1028.5,2057.0
2024-01-13,Nexium,TER-13,92,265.54,24429.68
2024-01-13,Humira,TER-03,19,3090.0,58710.0
2024-01-13,Januvia,TER-19,55,552.41,30382.55
2024-01-13,Crestor,TER-01,27,437.16,11803.32
2024-01-13,Opdivo,TER-10,27,7656.15,206716.05
2024-01-13,Humira,TER-05,53,3248.64,172177.92
2024-01-13,Avastin,TER-04,10,5624.38,56243.8
2024-01-13,Humira,TER-06,21,3030.34,63637.14
2024-01-13,Remicade,TER-20,1,2324.48,2324.48
2024-01-13,Lyrica,TER-20,8,398.01,3184.08
2024-01-13,Revlimid,TER-20,7,6930.73,48515.11
2024-01-13,Neulasta,TER-06,25,3915.23,97880.75
2024-01-13,Crestor,TER-20,35,373.28,13064.8
2024-01-13,Tecfidera,TER-10,20,1828.31,36566.2
2024-01-13,Enbrel,TER-17,51,3012.66,153645.66
2024-01-14,Keytruda,TER-15,8,8633.47,69067.76
2024-01-14,Januvia,TER-07,89,568.65,50609.85
2024-01-14,Humira,TER-16,10,3065.51,30655.1
2024-01-14,Revlimid,TER-12,27,7230.91,195234.57
2024-01-14,Januvia,TER-16,151,578.96,87422.96
2024-01-14,Neulasta,TER-07,6,3250.1,19500.6
2024-01-14,Januvia,TER-15,68,549.22,37346.96
2024-01-14,Humira,TER-02,57,3454.33,196896.81
2024-01-14,Tecfidera,TER-09,13,1764.84,22942.92
2024-01-14,Advair,TER-13,1,691.78,691.78
2024-01-14,Copaxone,TER-16,6,1151.69,6910.14
2024-01-14,Neulasta,TER-10,21,3830.2,80434.2
2024-01-14,Advair,TER-12,69,659.87,45531.03
2024-01-14,Copaxone,TER-17,56,1139.34,63803.04
2024-01-14,Rituxan,TER-04,1,5280.43,5280.43
2024-01-14,Januvia,TER-12,18,582.49,10484.82
2024-01-14,Advair,TER-20,20,570.08,11401.6
2024-01-14,Advair,TER-13,68,619.69,42138.92
2024-01-14,Humira,TER-14,11,3099.36,34092.96
2024-01-14,Lipitor,TER-09,13,359.41,4672.33
2024-01-14,Crestor,TER-16,151,421.11,63587.61
2024-01-14,Herceptin,TER-14,22,6453.08,141967.76
2024-01-14,Herceptin,TER-08,7,6359.14,44513.98
2024-01-14,Januvia,TER-03,30,586.48,17594.4
2024-01-14,Opdivo,TER-07,8,6914.9,55319.2
2024-01-14,Rituxan,TER-14,10,5264.38,52643.8
2024-01-14,Lyrica,TER-19,141,423.51,59714.91
2024-01-14,Tecfidera,TER-05,31,1829.6,56717.6
2024-01-14,Revlimid,TER-04,20,6537.3,130746.0
2024-01-14,Rituxan,TER-16,20,5120.57,102411.4
2024-01-14,Remicade,TER-03,42,2518.74,105787.08
2024-01-14,Revlimid,TER-03,24,6808.19,163396.56
2024-01-14,Neulasta,TER-17,12,3825.99,45911.88
