year_month,drug_name,territory_id,units_sold,revenue,n_transactions,avg_unit_price,month,quarter,year,day_of_week,is_quarter_end,lag_1,lag_3,lag_6,rolling_mean_3,rolling_std_3,drug_encoded,territory_encoded,xgb_pred,fold,actual,predicted,lower_bound,upper_bound,residual,absolute_error,model,forecast_window
2025-07-01,Advair,TER-02,146,107376.31,4,710.99,7,3,2025,1,0,132.0,177.0,181.0,135.66666666666666,39.62743157628731,0,1,129.09029,4,146,129.09029,83.99737548828125,179.87593498229978,16.909713745117188,16.909713745117188,XGBoost,4
2025-08-01,Advair,TER-02,121,83528.72,1,690.32,8,3,2025,4,0,146.0,98.0,179.0,125.33333333333331,24.6846781087648,0,1,141.77466,4,121,141.77466,104.60354804992676,190.54481658935546,-20.774658203125,20.774658203125,XGBoost,4
2025-09-01,Advair,TER-02,121,76514.08,2,651.73,9,3,2025,0,0,121.0,132.0,153.0,133.0,12.529964086141623,0,1,156.55542,4,121,156.55542,118.0841293334961,204.29131164550773,-35.555419921875,35.555419921875,XGBoost,4
2025-10-01,Advair,TER-02,176,120372.38,4,678.7325,10,4,2025,2,0,121.0,146.0,177.0,129.33333333333334,14.433756729740606,0,1,150.74074,4,176,150.74074,117.39371719360352,200.8075115203857,25.259262084960938,25.259262084960938,XGBoost,4
2025-11-01,Advair,TER-02,134,96568.2,2,702.115,11,4,2025,5,0,176.0,121.0,98.0,139.33333333333334,31.7542648054294,0,1,109.38077,4,134,109.38077,66.1676040649414,163.76068019866943,24.619232177734375,24.619232177734375,XGBoost,4
2025-12-01,Advair,TER-02,203,140263.89,2,696.24,12,4,2025,0,0,134.0,121.0,132.0,143.66666666666666,28.74601421646716,0,1,143.71907,4,203,143.71907,100.4263671875,193.4375617980957,59.28092956542969,59.28092956542969,XGBoost,4
2025-05-01,Advair,TER-03,129,85050.12,4,657.0274999999999,5,2,2025,3,0,126.0,167.0,107.0,143.33333333333334,21.221058723196,0,2,122.02216,4,129,122.02216,86.10388946533203,177.62870388031004,6.977836608886719,6.977836608886719,XGBoost,4
2025-06-01,Advair,TER-03,157,107200.43,4,683.155,6,2,2025,6,0,129.0,137.0,177.0,130.66666666666666,5.686240703077306,0,2,159.3371,4,157,159.3371,117.69486083984376,210.12436485290525,-2.33709716796875,2.33709716796875,XGBoost,4
2025-07-01,Advair,TER-03,150,98470.62,2,671.7,7,3,2025,1,0,157.0,126.0,110.0,137.33333333333334,17.097758137642884,0,2,133.72484,4,150,133.72484,93.76389617919922,185.7047393798828,16.275161743164062,16.275161743164062,XGBoost,4
2025-08-01,Advair,TER-03,93,67060.38,3,676.8333333333334,8,3,2025,4,0,150.0,129.0,167.0,145.33333333333334,14.571661996262948,0,2,150.62753,4,93,150.62753,109.39530487060547,209.61054611206052,-57.627532958984375,57.627532958984375,XGBoost,4
2025-09-01,Advair,TER-03,112,76790.2,4,656.5899999999999,9,3,2025,0,0,93.0,157.0,137.0,133.33333333333334,35.10460558578223,0,2,129.40578,4,112,129.40578,92.81850090026856,184.46106758117674,-17.405776977539062,17.405776977539062,XGBoost,4
2025-10-01,Advair,TER-03,104,71847.36,1,690.84,10,4,2025,2,0,112.0,150.0,126.0,118.33333333333331,29.02297940138697,0,2,144.85893,4,104,144.85893,109.67298164367676,197.09908561706538,-40.85893249511719,40.85893249511719,XGBoost,4
2025-11-01,Advair,TER-03,107,71463.16,1,667.88,11,4,2025,5,0,104.0,93.0,129.0,103.0,9.539392014169351,0,2,143.74396,4,107,143.74396,103.89200592041016,201.44082412719726,-36.74395751953125,36.74395751953125,XGBoost,4
2025-12-01,Advair,TER-03,176,121174.83,2,689.925,12,4,2025,0,0,107.0,112.0,157.0,107.66666666666669,4.041451884327158,0,2,121.31186,4,176,121.31186,78.59001922607422,173.7048400878906,54.688140869140625,54.688140869140625,XGBoost,4
2025-05-01,Advair,TER-04,142,93528.78,4,661.3725,5,2,2025,3,0,149.0,95.0,103.0,126.66666666666669,28.18391976523729,0,3,119.69596,4,142,119.69596,80.21775817871094,178.77324752807615,22.304039001464844,22.304039001464844,XGBoost,4
2025-06-01,Advair,TER-04,172,117104.48,1,680.84,6,2,2025,6,0,142.0,136.0,142.0,142.33333333333334,6.5064070986477205,0,3,143.43806,4,172,143.43806,101.01023864746094,194.0641387939453,28.561935424804688,28.561935424804688,XGBoost,4
2025-07-01,Advair,TER-04,112,80568.56999999999,4,726.8575,7,3,2025,1,0,172.0,149.0,191.0,154.33333333333334,15.695009822658069,0,3,137.297,4,112,137.297,99.99175453186035,190.12518157958982,-25.2969970703125,25.2969970703125,XGBoost,4
2025-08-01,Advair,TER-04,104,67054.0,1,644.75,8,3,2025,4,0,112.0,142.0,95.0,142.0,30.0,0,3,106.83651,4,104,106.83651,66.88841857910157,154.56955566406248,-2.8365097045898438,2.8365097045898438,XGBoost,4
2025-09-01,Advair,TER-04,200,136166.0,1,680.83,9,3,2025,0,0,104.0,172.0,136.0,129.33333333333334,37.16629297271028,0,3,130.62639,4,200,130.62639,88.11836624145508,183.60147018432616,69.37361145019531,69.37361145019531,XGBoost,4
2025-10-01,Advair,TER-04,188,126686.62,4,646.095,10,4,2025,2,0,200.0,112.0,149.0,138.66666666666666,53.26662494783514,0,3,124.47585,4,188,124.47585,86.11029853820801,174.24843749999994,63.524147033691406,63.524147033691406,XGBoost,4
2025-11-01,Advair,TER-04,120,81333.11,4,682.8225,11,4,2025,5,0,188.0,104.0,142.0,164.0,52.30678732248806,0,3,143.5909,4,120,143.5909,103.6117301940918,202.8632682800293,-23.590896606445312,23.590896606445312,XGBoost,4
2025-12-01,Advair,TER-04,158,108727.93,3,697.8133333333334,12,4,2025,0,0,120.0,200.0,172.0,169.33333333333334,43.1431724996358,0,3,154.8594,4,158,154.8594,118.243123626709,212.5418231964111,3.140594482421875,3.140594482421875,XGBoost,4
2025-05-01,Advair,TER-05,156,107567.57,4,678.1800000000001,5,2,2025,3,0,177.0,140.0,94.0,152.0,21.656407827707763,0,4,101.21227,4,156,101.21227,61.174790954589845,155.20223121643068,54.78772735595703,54.78772735595703,XGBoost,4
2025-06-01,Advair,TER-05,169,117228.11,4,698.1800000000001,6,2,2025,6,0,156.0,139.0,130.0,157.33333333333334,19.035055380359047,0,4,123.156746,4,169,123.156746,86.5404640197754,182.77110824584952,45.84325408935547,45.84325408935547,XGBoost,4
2025-07-01,Advair,TER-05,135,95809.5,1,709.7,7,3,2025,1,0,169.0,177.0,95.0,167.33333333333334,10.598742063723275,0,4,102.55807,4,135,102.55807,61.31061935424805,155.43741493225096,32.441932678222656,32.441932678222656,XGBoost,4
2025-08-01,Advair,TER-05,132,88117.06,3,655.7933333333334,8,3,2025,4,0,135.0,156.0,140.0,153.33333333333334,17.156145643277085,0,4,118.936104,4,132,118.936104,80.59298171997071,168.797204208374,13.063896179199219,13.063896179199219,XGBoost,4
2025-09-01,Advair,TER-05,172,112083.2,3,635.1999999999999,9,3,2025,0,0,132.0,169.0,139.0,145.33333333333334,20.55075018906449,0,4,131.78159,4,172,131.78159,91.44326667785644,185.7823173522949,40.218414306640625,40.218414306640625,XGBoost,4
2025-10-01,Advair,TER-05,94,62597.42,1,665.93,10,4,2025,2,0,172.0,135.0,177.0,146.33333333333334,22.27853974867596,0,4,135.04462,4,94,135.04462,92.57625122070313,190.6713287353515,-41.04461669921875,41.04461669921875,XGBoost,4
2025-11-01,Advair,TER-05,102,76864.93,4,723.6225,11,4,2025,5,0,94.0,132.0,156.0,132.66666666666666,39.0042732701602,0,4,121.06314,4,102,121.06314,85.92287826538086,175.04084281921385,-19.063140869140625,19.063140869140625,XGBoost,4
2025-12-01,Advair,TER-05,137,93181.81,3,678.4933333333333,12,4,2025,0,0,102.0,172.0,169.0,122.66666666666669,42.91076011134424,0,4,127.27969,4,137,127.27969,91.53695678710938,179.6702808380127,9.720306396484375,9.720306396484375,XGBoost,4
2025-05-01,Advair,TER-06,79,54433.67,4,678.4925,5,2,2025,3,0,84.0,122.0,81.0,98.66666666666669,20.42873792805941,0,5,92.1427,4,79,92.1427,53.57501220703125,146.5226125717163,-13.1427001953125,13.1427001953125,XGBoost,4
2025-06-01,Advair,TER-06,114,77262.64,4,666.47,6,2,2025,6,0,79.0,90.0,134.0,84.33333333333333,5.50757054728609,0,5,122.87588,4,114,122.87588,81.09650421142578,175.24851684570314,-8.875877380371094,8.875877380371094,XGBoost,4
2025-07-01,Advair,TER-06,76,48913.310000000005,3,646.1066666666667,7,3,2025,1,0,114.0,84.0,74.0,92.33333333333331,18.92969448600091,0,5,91.2678,4,76,91.2678,52.97217025756836,148.88686447143553,-15.267799377441406,15.267799377441406,XGBoost,4
2025-08-01,Advair,TER-06,95,66928.64,3,669.14,8,3,2025,4,0,76.0,79.0,122.0,89.66666666666667,21.1266025033211,0,5,102.874626,4,95,102.874626,63.02294387817383,154.69530487060547,-7.874626159667969,7.874626159667969,XGBoost,4
2025-09-01,Advair,TER-06,116,81617.81,4,688.99,9,3,2025,0,0,95.0,114.0,90.0,95.0,19.0,0,5,99.60754,4,116,99.60754,61.320213317871094,149.63323707580565,16.39246368408203,16.39246368408203,XGBoost,4
2025-10-01,Advair,TER-06,119,79018.08,4,669.6825,10,4,2025,2,0,116.0,76.0,84.0,95.66666666666669,20.008331597945222,0,5,100.6717,4,119,100.6717,57.42776107788086,158.2867805480957,18.32830047607422,18.32830047607422,XGBoost,4
2025-11-01,Advair,TER-06,136,90001.8,3,668.0933333333334,11,4,2025,5,0,119.0,95.0,79.0,110.0,13.076696830622012,0,5,110.618706,4,136,110.618706,64.63336486816407,160.10634078979484,25.38129425048828,25.38129425048828,XGBoost,4
2025-12-01,Advair,TER-06,84,58649.71,3,682.26,12,4,2025,0,0,136.0,116.0,114.0,123.66666666666669,10.785793124908944,0,5,112.7597,4,84,112.7597,77.56305961608886,167.15259571075438,-28.75969696044922,28.75969696044922,XGBoost,4
2025-05-01,Advair,TER-07,132,92722.98,2,713.145,5,2,2025,3,0,71.0,107.0,149.0,120.0,56.63038053907108,0,6,115.235695,4,132,115.235695,79.84947967529297,165.90756301879878,16.764305114746094,16.764305114746094,XGBoost,4
2025-06-01,Advair,TER-07,102,62954.18,2,616.55,6,2,2025,6,0,132.0,182.0,148.0,128.33333333333334,55.59076661940662,0,6,155.08609,4,102,155.08609,109.00767059326172,203.42515258789058,-53.086090087890625,53.086090087890625,XGBoost,4
2025-07-01,Advair,TER-07,76,54514.36,2,709.87,7,3,2025,1,0,102.0,71.0,136.0,101.66666666666669,30.501366089625137,0,6,103.46408,4,76,103.46408,61.900688552856444,157.48994636535642,-27.464080810546875,27.464080810546875,XGBoost,4
2025-08-01,Advair,TER-07,89,59529.8,4,668.81,8,3,2025,4,0,76.0,132.0,107.0,103.33333333333331,28.02379940931161,0,6,99.62587,4,89,99.62587,59.34421997070312,151.81188011169434,-10.625869750976562,10.625869750976562,XGBoost,4
2025-09-01,Advair,TER-07,116,89292.28,3,736.3433333333332,9,3,2025,0,0,89.0,102.0,182.0,89.0,13.00000000000002,0,6,95.175125,4,116,95.175125,57.589226531982426,148.083751296997,20.824874877929688,20.824874877929688,XGBoost,4
2025-10-01,Advair,TER-07,117,81711.63,1,698.39,10,4,2025,2,0,116.0,76.0,71.0,93.66666666666669,20.4042479237372,0,6,104.3589,4,117,104.3589,68.31385116577148,156.14199180603023,12.641098022460938,12.641098022460938,XGBoost,4
2025-11-01,Advair,TER-07,90,61194.6,1,679.94,11,4,2025,5,0,117.0,89.0,132.0,107.33333333333331,15.885003409925154,0,6,132.1741,4,90,132.1741,98.82460098266601,189.1168403625488,-42.174102783203125,42.174102783203125,XGBoost,4
2025-12-01,Advair,TER-07,79,53197.310000000005,4,677.1875,12,4,2025,0,0,90.0,116.0,102.0,107.66666666666669,15.307950004273398,0,6,103.48279,4,79,103.48279,60.67135314941407,154.0940399169922,-24.4827880859375,24.4827880859375,XGBoost,4
2025-05-01,Advair,TER-08,148,98475.8,2,655.49,5,2,2025,3,0,113.0,157.0,108.0,133.0,22.271057451320072,0,7,116.53546,4,148,116.53546,73.40662879943848,164.42475776672362,31.46453857421875,31.46453857421875,XGBoost,4
2025-06-01,Advair,TER-08,91,64929.16,3,717.2866666666665,6,2,2025,6,0,148.0,129.0,138.0,130.0,17.521415467935213,0,7,137.0985,4,91,137.0985,94.38940353393555,193.94701919555663,-46.09849548339844,46.09849548339844,XGBoost,4
2025-07-01,Advair,TER-08,135,95273.55,1,705.73,7,3,2025,1,0,91.0,113.0,99.0,117.33333333333331,28.74601421646717,0,7,97.056015,4,135,97.056015,49.49131774902344,150.42913856506348,37.94398498535156,37.94398498535156,XGBoost,4
2025-08-01,Advair,TER-08,106,75565.71,2,703.665,8,3,2025,4,0,135.0,148.0,157.0,124.66666666666669,29.87194893764604,0,7,125.03212,4,106,125.03212,86.5638816833496,179.41315002441405,-19.032119750976562,19.032119750976562,XGBoost,4
2025-09-01,Advair,TER-08,81,53578.8,2,644.8199999999999,9,3,2025,0,0,106.0,91.0,129.0,110.66666666666669,22.36813209307681,0,7,114.86129,4,81,114.86129,72.16067504882812,170.4678304672241,-33.861289978027344,33.861289978027344,XGBoost,4
2025-10-01,Advair,TER-08,114,85706.9,4,701.2025,10,4,2025,2,0,81.0,135.0,113.0,107.33333333333331,27.024680078279047,0,7,107.469124,4,114,107.469124,64.16394538879395,166.76200790405272,6.530876159667969,6.530876159667969,XGBoost,4
2025-11-01,Advair,TER-08,93,63131.52,3,682.4066666666666,11,4,2025,5,0,114.0,106.0,148.0,100.33333333333331,17.21433511156711,0,7,126.01513,4,93,126.01513,90.1840389251709,182.7883758544922,-33.01512908935547,33.01512908935547,XGBoost,4
2025-12-01,Advair,TER-08,155,106309.48,4,685.3325,12,4,2025,0,0,93.0,81.0,91.0,96.0,16.70329308849003,0,7,108.23855,4,155,108.23855,70.25266799926759,160.86528778076163,46.761451721191406,46.761451721191406,XGBoost,4
2025-05-01,Advair,TER-09,128,81872.37,3,648.3966666666666,5,2,2025,3,0,125.0,122.0,93.0,139.66666666666666,28.0416357107308,0,8,92.97331,4,128,92.97331,53.133871459960936,147.83916206359862,35.02668762207031,35.02668762207031,XGBoost,4
2025-06-01,Advair,TER-09,89,56623.07,3,673.5766666666667,6,2,2025,6,0,128.0,172.0,94.0,141.66666666666666,26.31222782915451,0,8,107.98201,4,89,107.98201,66.04336624145508,167.2543815612793,-18.982009887695312,18.982009887695312,XGBoost,4
2025-07-01,Advair,TER-09,109,76223.7,1,699.3,7,3,2025,1,0,89.0,125.0,150.0,114.0,21.70253441421068,0,8,95.868866,4,109,95.868866,53.514678955078125,148.30775146484373,13.131134033203125,13.131134033203125,XGBoost,4
2025-08-01,Advair,TER-09,89,61521.65,3,691.5833333333334,8,3,2025,4,0,109.0,128.0,122.0,108.66666666666669,19.502136635080063,0,8,119.57063,4,89,119.57063,71.51590385437012,169.66589736938474,-30.570632934570312,30.570632934570312,XGBoost,4
2025-09-01,Advair,TER-09,89,61245.0,3,678.9066666666666,9,3,2025,0,0,89.0,89.0,172.0,95.66666666666669,11.54700538379242,0,8,106.30131,4,89,106.30131,65.82576370239258,155.99966278076172,-17.301307678222656,17.301307678222656,XGBoost,4
2025-10-01,Advair,TER-09,99,65610.27,1,662.73,10,4,2025,2,0,89.0,109.0,125.0,95.66666666666669,11.54700538379242,0,8,111.43366,4,99,111.43366,65.14802627563476,162.3556037902832,-12.433662414550781,12.433662414550781,XGBoost,4
2025-11-01,Advair,TER-09,143,91864.04,3,651.82,11,4,2025,5,0,99.0,89.0,128.0,92.33333333333331,5.773502691896045,0,8,131.0032,4,143,131.0032,93.3692626953125,179.79662132263184,11.996795654296875,11.996795654296875,XGBoost,4
2025-12-01,Advair,TER-09,125,87213.83,2,741.085,12,4,2025,0,0,143.0,89.0,89.0,110.33333333333331,28.7286152352203,0,8,109.024124,4,125,109.024124,71.10858612060547,162.01647186279294,15.975875854492188,15.975875854492188,XGBoost,4
2025-05-01,Advair,TER-10,143,96904.05,3,686.09,5,2,2025,3,0,110.0,155.0,111.0,153.66666666666666,43.01550108197433,0,9,101.73017,4,143,101.73017,65.68857650756836,159.80702247619627,41.26982879638672,41.26982879638672,XGBoost,4
2025-06-01,Advair,TER-10,84,55269.69,3,656.0133333333333,6,2,2025,6,0,143.0,196.0,100.0,149.66666666666666,43.38586559391589,0,9,131.87813,4,84,131.87813,92.43294754028321,188.71500625610352,-47.87812805175781,47.87812805175781,XGBoost,4
2025-07-01,Advair,TER-10,138,89710.1,4,650.1,7,3,2025,1,0,84.0,110.0,110.0,112.33333333333331,29.569128044860125,0,9,92.45655,4,138,92.45655,55.79587516784668,148.08011169433587,45.54344940185547,45.54344940185547,XGBoost,4
2025-08-01,Advair,TER-10,97,64762.05,1,667.65,8,3,2025,4,0,138.0,143.0,155.0,121.66666666666669,32.715949219506584,0,9,125.58978,4,97,125.58978,87.30084457397462,177.41260147094727,-28.58978271484375,28.58978271484375,XGBoost,4
2025-09-01,Advair,TER-10,89,55591.55,3,621.3066666666667,9,3,2025,0,0,97.0,84.0,196.0,106.33333333333331,28.18391976523729,0,9,135.22977,4,89,135.22977,96.72007675170899,183.05968971252432,-46.229766845703125,46.229766845703125,XGBoost,4
2025-10-01,Advair,TER-10,122,86182.79000000001,2,705.145,10,4,2025,2,0,89.0,138.0,110.0,108.0,26.28687885618984,0,9,107.72012,4,122,107.72012,69.26667785644531,163.38571319580072,14.279876708984375,14.279876708984375,XGBoost,4
2025-11-01,Advair,TER-10,87,55796.58,1,641.34,11,4,2025,5,0,122.0,97.0,143.0,102.66666666666669,17.214335111567145,0,9,125.725174,4,87,125.725174,89.92934646606446,178.73934173583982,-38.72517395019531,38.72517395019531,XGBoost,4
2025-12-01,Advair,TER-10,148,110064.64,1,743.68,12,4,2025,0,0,87.0,89.0,84.0,99.33333333333331,19.65536398374076,0,9,97.32707,4,148,97.32707,59.37885437011719,149.05287551879883,50.67292785644531,50.67292785644531,XGBoost,4
2025-05-01,Advair,TER-11,92,66473.84,3,720.0833333333334,5,2,2025,3,0,75.0,85.0,102.0,100.0,35.0,0,10,99.97035,4,92,99.97035,56.55279235839844,156.91789703369136,-7.9703521728515625,7.9703521728515625,XGBoost,4
2025-06-01,Advair,TER-11,125,90918.55,2,730.19,6,2,2025,6,0,92.0,140.0,114.0,102.33333333333331,33.70954365359065,0,10,125.055565,4,125,125.055565,90.75622215270997,176.36619453430174,-0.05556488037109375,0.05556488037109375,XGBoost,4
2025-07-01,Advair,TER-11,108,69858.31999999999,2,634.34,7,3,2025,1,0,125.0,75.0,103.0,97.33333333333331,25.423086620891127,0,10,88.62352,4,108,88.62352,54.66385040283203,139.85453414916992,19.376480102539062,19.376480102539062,XGBoost,4
2025-08-01,Advair,TER-11,112,80542.56,1,719.13,8,3,2025,4,0,108.0,92.0,85.0,108.33333333333331,16.502525059315424,0,10,101.906364,4,112,101.906364,58.9029426574707,154.0825958251953,10.093635559082031,10.093635559082031,XGBoost,4
2025-09-01,Advair,TER-11,100,76262.0,1,762.62,9,3,2025,0,0,112.0,125.0,140.0,115.0,8.888194417315603,0,10,105.63421,4,100,105.63421,65.77695541381836,158.02259063720703,-5.634208679199219,5.634208679199219,XGBoost,4
2025-10-01,Advair,TER-11,151,98574.31,1,652.81,10,4,2025,2,0,100.0,108.0,75.0,106.66666666666669,6.110100926607809,0,10,99.13001,4,151,99.13001,60.76445541381836,150.5721466064453,51.86998748779297,51.86998748779297,XGBoost,4
2025-11-01,Advair,TER-11,130,86421.5,2,660.395,11,4,2025,5,0,151.0,112.0,92.0,121.0,26.66458325194677,0,10,127.8862,4,130,127.8862,92.05102653503418,177.52327804565428,2.113800048828125,2.113800048828125,XGBoost,4
2025-12-01,Advair,TER-11,160,105388.41,4,692.5675,12,4,2025,0,0,130.0,100.0,125.0,127.0,25.6320112359526,0,10,111.22613,4,160,111.22613,71.38516006469726,164.15344886779778,48.77387237548828,48.77387237548828,XGBoost,4
2025-05-01,Advair,TER-12,133,94228.99,4,695.5125,5,2,2025,3,0,72.0,111.0,98.0,115.66666666666669,46.17719494873344,0,11,86.58933,4,133,86.58933,42.962510681152345,147.95757904052735,46.410667419433594,46.410667419433594,XGBoost,4
2025-06-01,Advair,TER-12,158,111493.8,3,705.94,6,2,2025,6,0,133.0,164.0,100.0,123.0,46.8081189538738,0,11,125.6613,4,158,125.6613,83.68795394897461,176.95205688476557,32.33869934082031,32.33869934082031,XGBoost,4
2025-07-01,Advair,TER-12,87,57114.01,4,667.27,7,3,2025,1,0,158.0,72.0,140.0,121.0,44.23799272118932,0,11,102.02228,4,87,102.02228,61.490370178222655,152.94585723876952,-15.02227783203125,15.02227783203125,XGBoost,4
2025-08-01,Advair,TER-12,75,51153.4,3,674.5266666666666,8,3,2025,4,0,87.0,133.0,111.0,126.0,36.01388621073821,0,11,92.208336,4,75,92.208336,59.19184036254883,141.94710121154785,-17.208335876464844,17.208335876464844,XGBoost,4
2025-09-01,Advair,TER-12,82,56245.14,3,686.0433333333334,9,3,2025,0,0,75.0,158.0,164.0,106.66666666666669,44.85903847981288,0,11,120.85063,4,82,120.85063,82.19049987792968,170.87633247375487,-38.85063171386719,38.85063171386719,XGBoost,4
2025-10-01,Advair,TER-12,128,88031.08,4,660.7925,10,4,2025,2,0,82.0,87.0,72.0,81.33333333333333,6.02771377334169,0,11,101.193474,4,128,101.193474,66.58960342407227,150.6123065948486,26.80652618408203,26.80652618408203,XGBoost,4
2025-11-01,Advair,TER-12,118,76241.98000000001,2,641.115,11,4,2025,5,0,128.0,75.0,133.0,95.0,28.792360097775934,0,11,123.97741,4,118,123.97741,85.0043441772461,176.9029880523681,-5.977409362792969,5.977409362792969,XGBoost,4
2025-12-01,Advair,TER-12,95,67905.05,1,714.79,12,4,2025,0,0,118.0,82.0,158.0,109.33333333333331,24.193663082165404,0,11,102.72099,4,95,102.72099,58.85303802490235,155.57624702453612,-7.7209930419921875,7.7209930419921875,XGBoost,4
2025-05-01,Advair,TER-13,96,67366.55,3,700.5433333333334,5,2,2025,3,0,117.0,120.0,138.0,117.0,2.9999999999999525,0,12,101.70708,4,96,101.70708,59.26158905029297,151.56745491027831,-5.7070770263671875,5.7070770263671875,XGBoost,4
2025-06-01,Advair,TER-13,143,98386.86,1,688.02,6,2,2025,6,0,96.0,114.0,136.0,109.0,11.357816691600537,0,12,128.0728,4,143,128.0728,90.14542503356934,170.7688217163086,14.927200317382812,14.927200317382812,XGBoost,4
2025-07-01,Advair,TER-13,84,55506.96,3,661.66,7,3,2025,1,0,143.0,117.0,95.0,118.66666666666669,23.54428451521373,0,12,83.01199,4,84,83.01199,39.65923957824707,131.6916976928711,0.988006591796875,0.988006591796875,XGBoost,4
2025-08-01,Advair,TER-13,99,66734.42,4,675.8375,8,3,2025,4,0,84.0,96.0,120.0,107.66666666666669,31.18225991382493,0,12,96.990585,4,99,96.990585,60.43964729309082,148.23529472351072,2.0094146728515625,2.0094146728515625,XGBoost,4
2025-09-01,Advair,TER-13,101,60925.22,1,603.22,9,3,2025,0,0,99.0,143.0,114.0,108.66666666666669,30.664855018951798,0,12,112.629196,4,101,112.629196,70.1778953552246,170.32081604003906,-11.629196166992188,11.629196166992188,XGBoost,4
2025-10-01,Advair,TER-13,125,93491.25,1,747.93,10,4,2025,2,0,101.0,84.0,117.0,94.66666666666669,9.291573243177556,0,12,106.35929,4,125,106.35929,66.38012466430665,154.6434555053711,18.640708923339844,18.640708923339844,XGBoost,4
2025-11-01,Advair,TER-13,83,55508.04,3,661.0133333333333,11,4,2025,5,0,125.0,99.0,96.0,108.33333333333331,14.468356276140463,0,12,96.76976,4,83,96.76976,53.47562675476074,155.7331802368164,-13.769760131835938,13.769760131835938,XGBoost,4
2025-12-01,Advair,TER-13,161,118685.74,2,736.625,12,4,2025,0,0,83.0,101.0,143.0,103.0,21.071307505705477,0,12,95.17575,4,161,95.17575,50.36048889160156,152.5252944946289,65.82424926757812,65.82424926757812,XGBoost,4
2025-05-01,Advair,TER-14,105,74336.84999999999,3,698.52,5,2,2025,3,0,125.0,71.0,62.0,104.66666666666669,29.365512652316028,0,13,87.43937,4,105,87.43937,47.994188690185545,145.89250946044922,17.560630798339844,17.560630798339844,XGBoost,4
2025-06-01,Advair,TER-14,125,80097.95999999999,4,654.745,6,2,2025,6,0,105.0,118.0,101.0,116.0,10.14889156509218,0,13,106.576454,4,125,106.576454,61.38272171020508,159.6122749328613,18.423545837402344,18.423545837402344,XGBoost,4
2025-07-01,Advair,TER-14,80,54882.84,3,684.5233333333332,7,3,2025,1,0,125.0,125.0,103.0,118.33333333333331,11.547005383792484,0,13,78.66835,4,80,78.66835,32.88922119140625,131.51381530761714,1.3316497802734375,1.3316497802734375,XGBoost,4
2025-08-01,Advair,TER-14,92,61897.78999999999,4,675.8575000000001,8,3,2025,4,0,80.0,105.0,71.0,103.33333333333331,22.54624876411445,0,13,77.9905,4,92,77.9905,35.63641128540039,130.78840599060058,14.009498596191406,14.009498596191406,XGBoost,4
